srcStateName,srcYear,Base Year - 2011-12,Price type,Net State Domestic Product ( NSDP ) at factor cost for the base year 2011-12,YearCode,Year
PUDUCHERRY,2014-15,2011-12,Current Price,17362.5729,2014,"Financial Year (Apr - Mar), 2014"
CHANDIGARH,2014-15,2011-12,Constant Price,20203.97,2014,"Financial Year (Apr - Mar), 2014"
JAMMU & KASHMIR,2014-15,2011-12,Constant Price,62583.4229,2014,"Financial Year (Apr - Mar), 2014"
JHARKHAND,2014-15,2011-12,Current Price,182628.02,2014,"Financial Year (Apr - Mar), 2014"
PUNJAB,2014-15,2011-12,Current Price,290422.94,2014,"Financial Year (Apr - Mar), 2014"
ARUNACHAL PRADESH,2014-15,2011-12,Constant Price,12727.81,2014,"Financial Year (Apr - Mar), 2014"
HIMACHAL PRADESH,2014-15,2011-12,Constant Price,70594.6914,2014,"Financial Year (Apr - Mar), 2014"
BIHAR,2014-15,2011-12,Current Price,307980.4907,2014,"Financial Year (Apr - Mar), 2014"
ORISSA,2014-15,2011-12,Constant Price,221105.4142,2014,"Financial Year (Apr - Mar), 2014"
TELANGANA,2014-15,2011-12,Current Price,416930.33,2014,"Financial Year (Apr - Mar), 2014"
TELANGANA,2014-15,2011-12,Constant Price,339637.74,2014,"Financial Year (Apr - Mar), 2014"
RAJASTHAN,2014-15,2011-12,Current Price,519521.22,2014,"Financial Year (Apr - Mar), 2014"
JHARKHAND,2015-16,2011-12,Current Price,167741.05,2015,"Financial Year (Apr - Mar), 2015"
